Name,API Name,CoreMark Score,Compute Family,FFmpeg FPS,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
P6-B300 48xlarge,p6-b300.48xlarge,,GPU instance,,4096 GiB,192 vCPUs,30400 GB (8×3800 GB NVMe SSD),6400 Gigabit,$142.4160 hourly,,$44.7222 hourly,,
P5 48xlarge,p5.48xlarge,"3,900,325.027",GPU instance,,2048 GiB,192 vCPUs,30400 GB (8×3800 GB NVMe SSD),3200 Gigabit,$55.0400 hourly,,$20.4645 hourly,,
P5en High Performance Computing GPU 48xlarge,p5en.48xlarge,,GPU instance,,2048 GiB,192 vCPUs,30400 GB (8×3800 GB NVMe SSD),3200 Gigabit,$63.2960 hourly,,$26.8374 hourly,,
P6-B200 High Performance and Machine Learning GPU 48xlarge,p6-b200.48xlarge,"3,990,024.938",GPU instance,,2048 GiB,192 vCPUs,30400 GB (8×3800 GB NVMe SSD),3200 Gigabit,$113.9328 hourly,,$42.0968 hourly,,
P6E-GB200 36xlarge,p6e-gb200.36xlarge,,GPU instance,,960 GiB,144 vCPUs,EBS only,1700 Gigabit,,,,,
G7E 48xlarge,g7e.48xlarge,"4,097,019.703",GPU instance,122.0 fps,2048 GiB,192 vCPUs,15200 GB (4×3800 GB NVMe SSD),1600 Gigabit,$33.1443 hourly,,$10.9170 hourly,$41.9763 hourly,
G7E 24xlarge,g7e.24xlarge,"2,040,960.952",GPU instance,161.0 fps,1024 GiB,96 vCPUs,7600 GB (2×3800 GB NVMe SSD),800 Gigabit,$16.5722 hourly,,$8.7765 hourly,$20.9882 hourly,
G7 48xlarge,g7.48xlarge,"5,701,982.33",GPU instance,301.0 fps,768 GiB,192 vCPUs,7600 GB (2×3800 GB NVMe SSD),700 Gigabit,$28.5133 hourly,,$4.6951 hourly,$37.3453 hourly,
C8GN 48xlarge,c8gn.48xlarge,"5,220,228.385",Compute optimized,274.0 fps,384 GiB,192 vCPUs,EBS only,600 Gigabit,$11.3760 hourly,,$2.1748 hourly,,
C8GN Metal-48xl,c8gn.metal-48xl,,Compute optimized,,384 GiB,192 vCPUs,EBS only,600 Gigabit,$11.3760 hourly,,$1.1376 hourly,,
C8IN 96xlarge,c8in.96xlarge,,Compute optimized,,768 GiB,384 vCPUs,EBS only,600 Gigabit,$26.1274 hourly,,$8.2316 hourly,$43.7914 hourly,
C8IN Metal-96xl,c8in.metal-96xl,,Compute optimized,,768 GiB,384 vCPUs,EBS only,600 Gigabit,$26.1274 hourly,,$3.5149 hourly,$43.7914 hourly,
M8GN 48xlarge,m8gn.48xlarge,"5,357,516.568",General purpose,117.0 fps,768 GiB,192 vCPUs,EBS only,600 Gigabit,$13.9680 hourly,,$4.5839 hourly,,
M8GN Metal-48xl,m8gn.metal-48xl,,General purpose,,768 GiB,192 vCPUs,EBS only,600 Gigabit,$13.9680 hourly,,$2.1144 hourly,,
M8IDN 96xlarge,m8idn.96xlarge,"8,919,860.627",General purpose,254.0 fps,1536 GiB,384 vCPUs,22800 GB (6×3800 GB NVMe SSD),600 Gigabit,$36.6605 hourly,,$10.7234 hourly,$54.3245 hourly,
M8IDN Metal-96xl,m8idn.metal-96xl,,General purpose,,1536 GiB,384 vCPUs,22800 GB (6×3800 GB NVMe SSD),600 Gigabit,$36.6605 hourly,,$4.4505 hourly,$54.3245 hourly,
M8IN 96xlarge,m8in.96xlarge,"8,686,308.884",General purpose,303.0 fps,1536 GiB,384 vCPUs,EBS only,600 Gigabit,$32.0794 hourly,,$9.2016 hourly,$49.7434 hourly,
M8IN Metal-96xl,m8in.metal-96xl,,General purpose,,1536 GiB,384 vCPUs,EBS only,600 Gigabit,$32.0794 hourly,,$3.9751 hourly,$49.7434 hourly,
R8GN 48xlarge,r8gn.48xlarge,,Memory optimized,,1536 GiB,192 vCPUs,EBS only,600 Gigabit,$17.4893 hourly,,$6.3813 hourly,,
R8GN Metal-48xl,r8gn.metal-48xl,,Memory optimized,,1536 GiB,192 vCPUs,EBS only,600 Gigabit,$17.4893 hourly,,$2.2086 hourly,,
R8IDN 96xlarge,r8idn.96xlarge,"8,432,610.486",Memory optimized,283.0 fps,3072 GiB,384 vCPUs,22800 GB (6×3800 GB NVMe SSD),600 Gigabit,$45.0182 hourly,,$12.2864 hourly,$62.6822 hourly,
R8IDN Metal-96xl,r8idn.metal-96xl,,Memory optimized,,3072 GiB,384 vCPUs,22800 GB (6×3800 GB NVMe SSD),600 Gigabit,$45.0182 hourly,,$6.3341 hourly,$62.6822 hourly,
R8IN 96xlarge,r8in.96xlarge,"8,889,574.813",Memory optimized,317.0 fps,3072 GiB,384 vCPUs,EBS only,600 Gigabit,$40.1664 hourly,,$11.5293 hourly,$57.8304 hourly,
R8IN Metal-96xl,r8in.metal-96xl,"9,103,840.683",Memory optimized,246.0 fps,3072 GiB,384 vCPUs,EBS only,600 Gigabit,$40.1664 hourly,,$4.0166 hourly,$57.8304 hourly,
C8GB 48xlarge,c8gb.48xlarge,"5,503,403.798",Compute optimized,117.0 fps,384 GiB,192 vCPUs,EBS only,400 Gigabit,$11.3760 hourly,,$2.5454 hourly,,
C8GB Metal-48xl,c8gb.metal-48xl,"3,725,261.932",Compute optimized,254.0 fps,384 GiB,192 vCPUs,EBS only,400 Gigabit,$11.3760 hourly,,$1.1376 hourly,,
C8IB 96xlarge,c8ib.96xlarge,,Compute optimized,,768 GiB,384 vCPUs,EBS only,400 Gigabit,$26.1274 hourly,,$9.0546 hourly,$43.7914 hourly,
C8IB Metal-96xl,c8ib.metal-96xl,,Compute optimized,,768 GiB,384 vCPUs,EBS only,400 Gigabit,$26.1274 hourly,,$3.4297 hourly,$43.7914 hourly,
DL1 24xlarge,dl1.24xlarge,"1,593,162.677",Machine Learning ASIC Instances,198.0 fps,768 GiB,96 vCPUs,EBS only,400 Gigabit,$13.1090 hourly,$8.2587 hourly,,,
G6e Graphics and Machine Learning GPU 48xlarge,g6e.48xlarge,"3,635,502.959",GPU instance,142.0 fps,1536 GiB,192 vCPUs,7600 GB (4×1900 GB NVMe SSD),400 Gigabit,$30.1312 hourly,$18.9826 hourly,$10.1546 hourly,$38.9632 hourly,$27.8146 hourly
G7E 12xlarge Extra Large,g7e.12xlarge,"1,199,200.533",GPU instance,71.0 fps,512 GiB,48 vCPUs,3800 GB NVMe SSD,400 Gigabit,$8.2861 hourly,,$5.8759 hourly,$10.4941 hourly,
M8GB 48xlarge,m8gb.48xlarge,"5,283,070.785",General purpose,117.0 fps,768 GiB,192 vCPUs,EBS only,400 Gigabit,$13.9680 hourly,,$4.3555 hourly,,
M8GB Metal-48xl,m8gb.metal-48xl,,General purpose,,768 GiB,192 vCPUs,EBS only,400 Gigabit,$13.9680 hourly,,$2.2420 hourly,,
M8IB 96xlarge,m8ib.96xlarge,"8,852,515.705",General purpose,260.0 fps,1536 GiB,384 vCPUs,EBS only,400 Gigabit,$32.0794 hourly,,$9.2901 hourly,$49.7434 hourly,
M8IB Metal-96xl,m8ib.metal-96xl,"9,302,888.983",General purpose,248.0 fps,1536 GiB,384 vCPUs,EBS only,400 Gigabit,$32.0794 hourly,,$3.9454 hourly,$49.7434 hourly,
M8IDB 96xlarge,m8idb.96xlarge,"8,017,119.891",General purpose,188.0 fps,1536 GiB,384 vCPUs,22800 GB (6×3800 GB NVMe SSD),400 Gigabit,$36.6605 hourly,,$8.8687 hourly,$54.3245 hourly,
M8IDB Metal-96xl,m8idb.metal-96xl,,General purpose,,1536 GiB,384 vCPUs,22800 GB (6×3800 GB NVMe SSD),400 Gigabit,$36.6605 hourly,,$4.4922 hourly,$54.3245 hourly,
R8GB 48xlarge,r8gb.48xlarge,"5,215,619.694",Memory optimized,117.0 fps,1536 GiB,192 vCPUs,EBS only,400 Gigabit,$17.4893 hourly,,$4.0070 hourly,,
R8GB Metal-48xl,r8gb.metal-48xl,"4,734,311.429",Memory optimized,117.0 fps,1536 GiB,192 vCPUs,EBS only,400 Gigabit,$17.4893 hourly,,$3.5044 hourly,,
