Size,vC,Memory,Network Bandwidth
Standard_F1ads_v7,1,4,16000
Standard_F2ads_v7,2,8,16000
Standard_F4ads_v7,4,16,25000
Standard_F8ads_v7,8,32,25000
Standard_F16ads_v7,16,64,25000
Standard_F32ads_v7,32,128,45000
Standard_F48ads_v7,48,192,70000
Standard_F64ads_v7,64,256,75000
Standard_F80ads_v7,80,320,80000
Standard_F1alds_v7,1,2,16000
Standard_F2alds_v7,2,4,16000
Standard_F4alds_v7,4,8,25000
Standard_F8alds_v7,8,16,25000
Standard_F16alds_v7,16,32,25000
Standard_F32alds_v7,32,64,45000
Standard_F48alds_v7,48,96,70000
Standard_F64alds_v7,64,128,75000
Standard_F80alds_v7,80,160,80000
Standard_F2als_v6,2,4,12500
Standard_F4als_v6,4,8,12500
Standard_F8als_v6,8,16,12500
Standard_F16als_v6,16,32,16000
Standard_F32als_v6,32,64,20000
Standard_F48als_v6,48,96,28000
Standard_F64als_v6,64,128,36000
Standard_F1als_v7,1,2,16000
Standard_F2als_v7,2,4,16000
Standard_F4als_v7,4,8,25000
Standard_F8als_v7,8,16,25000
Standard_F16als_v7,16,32,25000
Standard_F32als_v7,32,64,45000
Standard_F48als_v7,48,96,70000
Standard_F64als_v7,64,128,75000
Standard_F80als_v7,80,160,80000
Standard_F1amds_v7,1,8,16000
Standard_F2amds_v7,2,16,16000
Standard_F4amds_v7,4,32,25000
Standard_F8amds_v7,8,64,25000
Standard_F16amds_v7,16,128,25000
Standard_F32amds_v7,32,256,45000
Standard_F48amds_v7,48,384,70000
Standard_F64amds_v7,64,512,75000
Standard_F80amds_v7,80,640,80000
Standard_F2ams_v6,2,16,12500
Standard_F4ams_v6,4,32,12500
Standard_F8ams_v6,8,64,12500
Standard_F16ams_v6,16,128,16000
Standard_F32ams_v6,32,256,20000
Standard_F48ams_v6,48,384,28000
Standard_F64ams_v6,64,512,36000
Standard_F1ams_v7,1,8,16000
Standard_F2ams_v7,2,16,16000
Standard_F4ams_v7,4,32,25000
Standard_F8ams_v7,8,64,25000
Standard_F16ams_v7,16,128,25000
Standard_F32ams_v7,32,256,45000
