name,series,family,description,location,region,regionLocation,regionLocationLong,regionLocationCountryCode,regionCfe,regionCo2Kwh,regionLowCo2,regionLat,regionLng,regionPublicIpv4Addr,zoneCount,zones,vCpus,sharedCpu,intel,amd,arm,cpuPlatformCount,cpuPlatform,cpuBaseClock,cpuTurboClock,cpuSingleMaxTurboClock,availableCpuPlatformCount,availableCpuPlatform,coremarkScore,standardDeviation,sampleCount,memoryGB,acceleratorCount,acceleratorType,disks,disksSizeGb,localSsd,bandwidth,tier1,sap,saps,hana,sud,spot,hour,hourSpot,month,month1yCud,month3yCud,monthSpot,monthSles,monthSlesSap,monthSlesSap1yCud,monthSlesSap3yCud,monthRhel,monthRhel1yCud,monthRhel3yCud,monthRhelSap,monthRhelSap1yCud,monthRhelSap3yCud,monthWindows
a2-highgpu-1g,a2,Accelerator-optimized,"Accelerator Optimized: 1 NVIDIA Tesla A100 GPU, 12 vCPUs, 85GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,2.0,"us-east1-a, us-east1-b",12.0,0,1.0,0.0,0.0,1.0,"Intel Cascade Lake",2.2,2.9,3.7,1.0,"Intel Cascade Lake",171520.0,0.45,4.0,85.0,1.0,"NVIDIA A100 40GB",128.0,263168.0,1.0,24.0,0.0,0.0,"",0.0,0.0,1.0,3.673385,1.442955,2681.57105,1689.3711392,938.56707798,1053.35715,80.3,299.3,119.939,107.748,94.608,94.608,94.608,142.35,142.35,142.35,402.96
a2-highgpu-2g,a2,Accelerator-optimized,"Accelerator Optimized: 2 NVIDIA Tesla A100 GPUs, 24 vCPUs, 170GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,2.0,"us-east1-a, us-east1-b",24.0,0,1.0,0.0,0.0,1.0,"Intel Cascade Lake",2.2,2.9,3.7,1.0,"Intel Cascade Lake",359881.0,0.33,4.0,170.0,2.0,"NVIDIA A100 40GB",128.0,263168.0,1.0,32.0,0.0,0.0,"",0.0,0.0,1.0,7.34677,2.88591,5363.1421,3378.7422784,1877.13415596,2106.7143,80.3,299.3,119.939,107.748,189.216,189.216,189.216,284.7,284.7,284.7,805.92
a2-highgpu-4g,a2,Accelerator-optimized,"Accelerator Optimized: 4 NVIDIA Tesla A100 GPUs, 48 vCPUs, 340GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,2.0,"us-east1-a, us-east1-b",48.0,0,1.0,0.0,0.0,1.0,"Intel Cascade Lake",2.2,2.9,3.7,1.0,"Intel Cascade Lake",646934.0,0.27,4.0,340.0,4.0,"NVIDIA A100 40GB",128.0,524288.0,1.0,50.0,0.0,0.0,"",0.0,0.0,1.0,14.69354,5.77182,10726.2842,6757.4845568,3754.26831192,4213.4286,80.3,299.3,119.939,107.748,378.432,378.432,378.432,569.4,569.4,569.4,1611.84
a2-highgpu-8g,a2,Accelerator-optimized,"Accelerator Optimized: 8 NVIDIA Tesla A100 GPUs, 96 vCPUs, 680GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,2.0,"us-east1-a, us-east1-b",96.0,0,1.0,0.0,0.0,1.0,"Intel Cascade Lake",2.2,2.9,3.7,1.0,"Intel Cascade Lake",1269327.0,0.76,8.0,680.0,8.0,"NVIDIA A100 40GB",128.0,524288.0,1.0,100.0,0.0,0.0,"",0.0,0.0,1.0,29.38708,11.54364,21452.5684,13514.9691136,7508.53662384,8426.8572,80.3,299.3,119.939,107.748,756.864,756.864,756.864,1138.8,1138.8,1138.8,3223.68
a2-megagpu-16g,a2,Accelerator-optimized,"Accelerator Optimized: 16 NVIDIA Tesla A100 GPUs, 96 vCPUs, 1360GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,1.0,us-east1-a,96.0,0,1.0,0.0,0.0,1.0,"Intel Cascade Lake",2.2,2.9,3.7,1.0,"Intel Cascade Lake",1258852.0,6.56,172.0,1360.0,16.0,"NVIDIA A100 40GB",128.0,524288.0,1.0,100.0,0.0,0.0,"",0.0,0.0,1.0,55.739504,21.87384,40689.83792,25634.2950272,14241.71597664,15967.9032,80.3,299.3,119.939,107.748,756.864,756.864,756.864,1138.8,1138.8,1138.8,3223.68
c2-standard-16,c2,Compute-optimized,"Compute Optimized: 16 vCPUs, 64 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,4.0,"us-east1-a, us-east1-b, us-east1-c, us-east1-d",16.0,0,1.0,0.0,0.0,1.0,"Intel Cascade Lake",3.1,3.8,3.9,1.0,"Intel Cascade Lake",292366.0,0.73,312.0,64.0,"","",128.0,263168.0,1.0,32.0,0.0,1.0,24160.0,0.0,1.0,1.0,0.835232,0.246624,487.897431872,384.0968,243.89008,180.03552,80.3,299.3,119.939,107.748,126.144,126.144,126.144,189.8,189.8,189.8,537.28
c2-standard-30,c2,Compute-optimized,"Compute Optimized: 30 vCPUs, 120 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,4.0,"us-east1-a, us-east1-b, us-east1-c, us-east1-d",30.0,0,1.0,0.0,0.0,1.0,"Intel Cascade Lake",3.1,3.8,3.9,1.0,"Intel Cascade Lake",531709.0,1.31,168.0,120.0,"","",128.0,263168.0,1.0,32.0,50.0,1.0,45300.0,0.0,1.0,1.0,1.56606,0.46242,914.80768476,720.1815,457.2939,337.5666,80.3,299.3,119.939,107.748,236.52,236.52,236.52,355.875,355.875,355.875,1007.4
c2-standard-4,c2,Compute-optimized,"Compute Optimized: 4 vCPUs, 16 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,4.0,"us-east1-a, us-east1-b, us-east1-c, us-east1-d",4.0,0,1.0,0.0,0.0,1.0,"Intel Cascade Lake",3.1,3.8,3.9,1.0,"Intel Cascade Lake",73269.0,0.65,1180.0,16.0,"","",128.0,263168.0,1.0,10.0,0.0,1.0,6040.0,0.0,1.0,1.0,0.208808,0.061656,121.974357968,96.0242,60.97252,45.00888,80.3,248.2,100.01,89.425,42.048,42.048,42.048,65.7,65.7,65.7,134.32
c2-standard-60,c2,Compute-optimized,"Compute Optimized: 60 vCPUs, 240 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,4.0,"us-east1-a, us-east1-b, us-east1-c, us-east1-d",60.0,0,1.0,0.0,0.0,1.0,"Intel Cascade Lake",3.1,3.8,3.9,1.0,"Intel Cascade Lake",1060101.0,1.14,84.0,240.0,"","",128.0,524288.0,1.0,32.0,100.0,1.0,90600.0,0.0,1.0,1.0,3.13212,0.92484,1829.61536952,1440.363,914.5878,675.1332,80.3,299.3,119.939,107.748,473.04,473.04,473.04,711.75,711.75,711.75,2014.8
c2-standard-8,c2,Compute-optimized,"Compute Optimized: 8 vCPUs, 32 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,4.0,"us-east1-a, us-east1-b, us-east1-c, us-east1-d",8.0,0,1.0,0.0,0.0,1.0,"Intel Cascade Lake",3.1,3.8,3.9,1.0,"Intel Cascade Lake",146712.0,0.69,596.0,32.0,"","",128.0,263168.0,1.0,16.0,0.0,1.0,12080.0,0.0,1.0,1.0,0.417616,0.123312,243.948715936,192.0484,121.94504,90.01776,80.3,299.3,119.939,107.748,84.096,84.096,84.096,131.4,131.4,131.4,268.64
c2d-highcpu-112,c2d,Compute-optimized,"112 vCPUs, 224 GB RAM",us,us-east1,"South Carolina","Moncks Corner, South Carolina, USA",US,29.0,560.0,0.0,33.8361,-81.1637,1213184.0,3.0,"us-east1-b, us-east1-c, us-east1-d",112.0,0,0.0,1.0,0.0,1.0,"AMD Milan",2.45,2.8,3.5,1.0,"AMD Milan",2299260.0,0.37,40.0,224.0,"","",128.0,524288.0,1.0,32.0,100.0,0.0,"",0.0,0.0,1.0,4.197872,1.051232,3064.44656,1930.51712,1378.8824,767.39936,80.3,299.3,119.939,107.748,883.008,883.008,883.008,1328.6,1328.6,1328.6,3760.96
